"tagfield","liblibrarian","libopac","repeatable","mandatory","important","authorised_value","ind1_defaultvalue","ind2_defaultvalue","frameworkcode"
"100","g","Sonstige Informationen","Sonstige Informationen","1","0","0","","0","","","","0","0","FA","","","","9999","0"
"100","j","Zuordnungsvermerk","Zuordnungsvermerk","1","0","0","","0","","","","0","0","FA","","","","9999","0"
"100","k","Formbestandteil der Ansetzung","Formbestandteil der Ansetzung","1","0","0","","0","","","","0","0","FA","","","","9999","0"
"100","l","Sprache eines Werkes","Sprache eines Werkes","0","0","0","","0","","","","0","0","FA","","","","9999","0"
"100","n","Zählung des Teils/der Abteilung eines Werkes","Zählung des Teils/der Abteilung eines Werkes","1","0","0","","0","","","","0","0","FA","","","","9999","0"
"100","p","Titel eines Teils/einer Abteilung eines Werkes","Titel eines Teils/einer Abteilung eines Werkes","1","0","0","","0","","","","0","0","FA","","","","9999","0"
"100","q","Vollständige Form eines Namens","Vollständige Form eines Namens","0","0","0","","0","","","","0","0","FA","","","","9999","0"
"100","t","Titel eines Werkes","Titel eines Werkes","0","0","0","","0","","","","0","0","FA","","","","9999","0"
"100","u","Zugehörigkeit","Zugehörigkeit","0","0","0","","0","","","","0","0","FA","","","","9999","0"
"245","6","Verknüpfung","Verknüpfung","0","0","0","","0","","","","","0","FA","","","","9999","0"
"245","8","Feldverknüpfung und Reihenfolge","Feldverknüpfung und Reihenfolge","1","0","0","","0","","","","","0","FA","","","","9999","0"
"245","a","Titel","Titel","0","1","0","biblio.title","0","","","","","0","FA","'245b','245f','245g','245k','245n','245p','245s','245h','246i','246a','246b','246f','246g','246n','246p','246h','242a','242b','242n','242p','242h','505t'","","","9999","0"
"245","b","Zusatz zum Titel","Zusatz zum Titel","0","0","0","biblio.subtitle","0","","","","","0","FA","","","","9999","0"
"245","c","Verfasserangabe etc.","Verfasserangabe etc.","0","0","0","","0","","","","","0","FA","","","","9999","0"
"245","d","Designation of section/part/series (SE) [OBSOLETE]","Designation of section/part/series (SE) [OBSOLETE]","0","0","0","","0","","","","","0","FA","","","","9999","0"
"245","e","Name of part/section/series (SE) [OBSOLETE]","Name of part/section/series (SE) [OBSOLETE]","0","0","0","","0","","","","","0","FA","","","","9999","0"
"245","f","Entstehungszeitraum","Entstehungszeitraum","0","0","0","","0","","","","","0","FA","","","","9999","0"
